evidence_id,workbook,sheet,row,column,column_letter,header,value,formula,is_blank
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,1,1,A,Aldea/Barrio,Aldea/Barrio,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,1,2,B,Población (INE 2018),Población (INE 2018),,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,1,3,C,Empadronados Est. (2023),Empadronados Est. (2023),,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,1,4,D,Nivel de Acceso,Nivel de Acceso,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,1,5,E,Prioridad Estratégica,Prioridad Estratégica,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,2,1,A,Aldea/Barrio,San Felipe de Jesús,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,2,2,B,Población (INE 2018),5316,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,2,3,C,Empadronados Est. (2023),3700,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,2,4,D,Nivel de Acceso,Alta,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,2,5,E,Prioridad Estratégica,Alta – Turismo/religión,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,3,1,A,Aldea/Barrio,San Juan del Obispo,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,3,2,B,Población (INE 2018),4352,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,3,3,C,Empadronados Est. (2023),3000,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,3,4,D,Nivel de Acceso,Media,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,3,5,E,Prioridad Estratégica,Alta – Agricultura/artesanía,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,4,1,A,Aldea/Barrio,San Bartolomé Becerra,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,4,2,B,Población (INE 2018),2056,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,4,3,C,Empadronados Est. (2023),1450,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,4,4,D,Nivel de Acceso,Alta,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,4,5,E,Prioridad Estratégica,Media – Conexión urbana,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,5,1,A,Aldea/Barrio,Santa Ana,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,5,2,B,Población (INE 2018),1908,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,5,3,C,Empadronados Est. (2023),1300,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,5,4,D,Nivel de Acceso,Alta,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,5,5,E,Prioridad Estratégica,Media – Residencial,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,6,1,A,Aldea/Barrio,Santa Inés Monte Pulciano,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,6,2,B,Población (INE 2018),1075,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,6,3,C,Empadronados Est. (2023),750,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,6,4,D,Nivel de Acceso,Alta,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,6,5,E,Prioridad Estratégica,Media – Turismo,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,7,1,A,Aldea/Barrio,Santa Catarina Bobadilla,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,7,2,B,Población (INE 2018),933,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,7,3,C,Empadronados Est. (2023),650,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,7,4,D,Nivel de Acceso,Media,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,7,5,E,Prioridad Estratégica,Media-baja – Tradicional,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,8,1,A,Aldea/Barrio,San Pedro Las Huertas,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,8,2,B,Población (INE 2018),4733,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,8,3,C,Empadronados Est. (2023),3300,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,8,4,D,Nivel de Acceso,Alta,,false
EV-0105,2025-10-10__Territorio__Fichas_Comunitarias_Antigua__v01.xlsx,Resumen Comparativo,8,5,E,Prioridad Estratégica,Alta – Productiva,,false
